,x,y,z,pass
0,380,3.61,3,False
1,660,3.67,3,True
2,800,4.0,1,True
3,640,3.19,4,True
4,520,2.93,4,False
5,760,3.0,2,True
6,560,2.98,1,True
7,400,3.08,2,False
8,540,3.39,3,True
9,700,3.92,2,False
10,800,4.0,4,False
11,440,3.22,1,False
12,760,4.0,1,True
13,700,3.08,2,False
14,700,4.0,1,True
15,480,3.44,3,False
16,780,3.87,4,False
17,360,2.56,3,False
18,800,3.75,2,False
19,540,3.81,1,True
20,500,3.17,3,False
21,660,3.63,2,True
22,600,2.82,4,False
23,680,3.19,4,False
24,760,3.35,2,True
25,800,3.66,1,True
26,620,3.61,1,True
27,520,3.74,4,True
28,780,3.22,2,True
29,520,3.29,1,False
30,540,3.78,4,False
31,760,3.35,3,False
32,600,3.4,3,False
33,800,4.0,3,True
34,360,3.14,1,False
35,400,3.05,2,False
36,580,3.25,1,False
37,520,2.9,3,False
38,500,3.13,2,True
39,520,2.68,3,True
40,560,2.42,2,False
41,580,3.32,2,True
42,600,3.15,2,True
43,500,3.31,3,False
44,700,2.94,2,False
45,460,3.45,3,True
46,580,3.46,2,True
47,500,2.97,4,False
48,440,2.48,4,False
49,400,3.35,3,False
50,640,3.86,3,False
51,440,3.13,4,False
52,740,3.37,4,False
53,680,3.27,2,True
54,660,3.34,3,False
55,740,4.0,3,True
56,560,3.19,3,False
57,380,2.94,3,False
58,400,3.65,2,False
59,600,2.82,4,False
60,620,3.18,2,True
61,560,3.32,4,False
62,640,3.67,3,False
63,680,3.85,3,True
64,580,4.0,3,False
65,600,3.59,2,False
66,740,3.62,4,False
67,620,3.3,1,False
68,580,3.69,1,False
69,800,3.73,1,False
70,640,4.0,3,False
71,300,2.92,4,False
72,480,3.39,4,False
73,580,4.0,2,False
74,720,3.45,4,False
75,720,4.0,3,False
76,560,3.36,3,False
77,800,4.0,3,True
78,540,3.12,1,False
79,620,4.0,1,True
80,700,2.9,4,False
81,620,3.07,2,False
82,500,2.71,2,False
83,380,2.91,4,False
84,500,3.6,3,True
85,520,2.98,2,False
86,600,3.32,2,False
87,600,3.48,2,False
88,700,3.28,1,False
89,660,4.0,2,True
90,700,3.83,2,False
91,720,3.64,1,True
92,800,3.9,2,False
93,580,2.93,2,False
94,660,3.44,2,True
95,660,3.33,2,False
96,640,3.52,4,False
97,480,3.57,2,False
98,700,2.88,2,False
99,400,3.31,3,False
100,340,3.15,3,False
101,580,3.57,3,False
102,380,3.33,4,False
103,540,3.94,3,False
104,660,3.95,2,True
105,740,2.97,2,True
106,700,3.56,1,True
107,480,3.13,2,False
108,400,2.93,3,False
109,480,3.45,2,False
110,680,3.08,4,False
111,420,3.41,4,False
112,360,3.0,3,False
113,600,3.22,1,False
114,720,3.84,3,False
115,620,3.99,3,False
116,440,3.45,2,True
117,700,3.72,2,False
118,800,3.7,1,True
119,340,2.92,3,False
120,520,3.74,2,True
121,480,2.67,2,True
122,520,2.85,3,False
123,500,2.98,3,False
124,720,3.88,3,False
125,540,3.38,4,False
126,600,3.54,1,True
127,740,3.74,4,False
128,540,3.19,2,False
129,460,3.15,4,False
130,620,3.17,2,True
131,640,2.79,2,False
132,580,3.4,2,False
133,500,3.08,3,False
134,560,2.95,2,False
135,500,3.57,3,False
136,560,3.33,4,False
137,700,4.0,3,False
138,620,3.4,2,False
139,600,3.58,1,True
140,640,3.93,2,False
141,700,3.52,4,True
142,620,3.94,4,False
143,580,3.4,3,False
144,580,3.4,4,False
145,380,3.43,3,False
146,480,3.4,2,False
147,560,2.71,3,False
148,480,2.91,1,True
149,740,3.31,1,False
150,800,3.74,1,True
151,400,3.38,2,False
152,640,3.94,2,True
153,580,3.46,3,False
154,620,3.69,3,False
155,580,2.86,4,True
156,560,2.52,2,False
157,480,3.58,1,True
158,660,3.49,2,False
159,700,3.82,3,False
160,600,3.13,2,False
161,640,3.5,2,False
162,700,3.56,2,True
163,520,2.73,2,False
164,580,3.3,2,False
165,700,4.0,1,False
166,440,3.24,4,False
167,720,3.77,3,False
168,500,4.0,3,False
169,600,3.62,3,False
170,400,3.51,3,False
171,540,2.81,3,False
172,680,3.48,3,False
173,800,3.43,2,True
174,500,3.53,4,False
175,620,3.37,2,True
176,520,2.62,2,False
177,620,3.23,3,True
178,620,3.33,3,False
179,300,3.01,3,False
180,620,3.78,3,False
181,500,3.88,4,False
182,700,4.0,2,False
183,540,3.84,2,True
184,500,2.79,4,False
185,800,3.6,2,False
186,560,3.61,3,False
187,580,2.88,2,False
188,560,3.07,2,False
189,500,3.35,2,False
190,640,2.94,2,True
191,800,3.54,3,False
192,640,3.76,3,False
193,380,3.59,4,False
194,600,3.47,2,True
195,560,3.59,2,False
196,660,3.07,3,False
197,400,3.23,4,True
198,600,3.63,3,False
199,580,3.77,4,False
200,800,3.31,3,False
201,580,3.2,2,True
202,700,4.0,1,True
203,420,3.92,4,False
204,600,3.89,1,True
205,780,3.8,3,True
206,740,3.54,1,False
207,640,3.63,1,True
208,540,3.16,3,False
209,580,3.5,2,False
210,740,3.34,4,False
211,580,3.02,2,False
212,460,2.87,2,False
213,640,3.38,3,False
214,600,3.56,2,True
215,660,2.91,3,True
216,340,2.9,1,False
217,460,3.64,1,True
218,460,2.98,1,False
219,560,3.59,2,True
220,540,3.28,3,False
221,680,3.99,3,False
222,480,3.02,1,True
223,800,3.47,3,False
224,800,2.9,2,False
225,720,3.5,3,True
226,620,3.58,2,False
227,540,3.02,4,False
228,480,3.43,2,False
229,720,3.42,2,True
230,580,3.29,4,False
231,600,3.28,3,False
232,380,3.38,2,False
